state,test
Alabama,a
Alaska,
Arizona,
Arkansas,
California,
Colorado,s
Connecticut,s
Delaware,s
District of Columbia,s
Florida,
Georgia,
Hawaii,a
Idaho,a
Illinois,s
Indiana,
Iowa,
Kansas,
Kentucky,a
Louisiana,a
Maine,s
Maryland,
Massachusetts,
Michigan,s
Minnesota,
Mississippi,a
Missouri,a
Montana,a
Nebraska,a
Nevada,a
New Hampshire,s
New Jersey,
New Mexico,
New York,
North Carolina,a
North Dakota,a
Ohio,a
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,a
South Dakota,
Tennessee,a
Texas,
Utah,a
Vermont,
Virginia,
Washington,
West Virginia,
Wisconsin,a
Wyoming,a
