,index,state,act_part_pct_2018,act_composite_2018,sat_part_pct_2018,sat_verbal_2018,sat_math_2018,act_part_pct_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_part_pct_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_total_2018,n_act_part_pct_2018,n_act_composite_2018,n_sat_part_pct_2018,n_sat_verbal_2018,n_sat_math_2018,n_act_part_pct_2017,n_act_english_2017,n_act_math_2017,n_act_reading_2017,n_act_science_2017,n_act_composite_2017,n_sat_part_pct_2017,n_sat_verbal_2017,n_sat_math_2017,n_sat_total_2017,n_sat_total_2018,gdp,pci,test,white,black,hispanic,asian,native,hawaii,other,n_gdp,n_pci
0,0,Connecticut,0.26,25.6,1.0,535,519,0.31,25.5,24.6,25.6,24.6,25.2,1.0,530,512,1042,1054,0.20430107526881722,1.0,1.0,0.3374233128834356,0.22285714285714286,0.24999999999999997,1.0,0.904109589041096,0.9493670886075951,0.9867256637168142,0.9610389610389609,1.0,0.2962962962962963,0.24043715846994534,0.26666666666666666,0.2398753894080997,264510,72780,s,0.67,0.1,0.16,0.05,0.01,0.0,0.03,0.0838916101518378,0.7345584737487795
1,1,Massachusetts,0.25,25.5,0.8,562,563,0.29,25.4,25.3,25.9,24.7,25.4,0.76,555,551,1106,1125,0.1935483870967742,0.9873417721518986,0.7959183673469388,0.5030674846625767,0.4742857142857143,0.22826086956521735,0.9891304347826085,1.0,0.9873417721518986,0.9911504424778761,0.9870129870129868,0.7551020408163265,0.4506172839506173,0.453551912568306,0.45217391304347826,0.46105919003115264,542979,73227,,0.72,0.07,0.12,0.06,0.01,0.0,0.03,0.18460168618646422,0.7457499812223028
2,2,New Hampshire,0.16,25.1,0.96,535,528,0.18,25.4,25.1,26.0,24.9,25.5,0.96,532,520,1052,1063,0.0967741935483871,0.9367088607594937,0.9591836734693877,0.3374233128834356,0.2742857142857143,0.10869565217391303,0.9891304347826085,0.9726027397260275,1.0,1.0,1.0,0.9591836734693877,0.30864197530864196,0.28415300546448086,0.2956521739130435,0.26791277258566976,81650,74801,s,0.91,0.01,0.04,0.03,0.01,0.0,0.02,0.017759133992222943,0.7851581082096092
3,3,New York,0.27,24.5,0.79,534,534,0.31,23.8,24.0,24.6,23.9,24.2,0.67,528,523,1051,1068,0.21505376344086025,0.8607594936708859,0.7857142857142857,0.3312883435582822,0.30857142857142855,0.24999999999999997,0.8152173913043479,0.821917808219178,0.8227848101265824,0.9557522123893806,0.8311688311688311,0.663265306122449,0.2839506172839506,0.3005464480874317,0.2927536231884058,0.2834890965732087,1606601,62447,,0.55,0.14,0.19,0.09,0.01,0.01,0.03,0.5692673132117396,0.47585188152524976
4,4,Michigan,0.22,24.4,1.0,511,499,0.29,24.1,23.7,24.5,23.8,24.1,1.0,509,495,1004,1010,0.16129032258064516,0.8481012658227844,1.0,0.1901840490797546,0.10857142857142857,0.22826086956521735,0.8478260869565218,0.780821917808219,0.810126582278481,0.9513274336283186,0.8181818181818183,1.0,0.16666666666666666,0.14754098360655737,0.1565217391304348,0.102803738317757,508905,57700,s,0.75,0.14,0.05,0.03,0.01,0.0,0.03,0.17227860846217943,0.3570015773265567
5,5,Rhode Island,0.15,24.2,0.97,513,505,0.21,24.0,23.3,24.7,23.4,24.0,0.71,539,524,1063,1018,0.08602150537634408,0.8227848101265821,0.9693877551020408,0.20245398773006135,0.14285714285714285,0.14130434782608695,0.8369565217391304,0.726027397260274,0.8354430379746834,0.9336283185840708,0.8051948051948051,0.7040816326530612,0.35185185185185186,0.30601092896174864,0.32753623188405795,0.1277258566978193,59306,66390,,0.72,0.05,0.16,0.04,0.01,0.0,0.03,0.009678284996759559,0.5745724944292832
6,6,Vermont,0.24,24.1,0.64,565,554,0.29,23.3,23.1,24.4,23.2,23.6,0.6,562,551,1113,1119,0.1827956989247312,0.8101265822784811,0.6326530612244898,0.5214723926380368,0.4228571428571429,0.22826086956521735,0.7608695652173914,0.6986301369863015,0.7974683544303796,0.9247787610619469,0.7532467532467534,0.5918367346938775,0.49382716049382713,0.453551912568306,0.47246376811594204,0.4423676012461059,32545,63805,,0.93,0.01,0.02,0.02,0.0,0.0,0.02,0.0,0.5098520317468266
7,7,Maine,0.07,24.0,0.99,512,501,0.08,24.2,24.0,24.8,23.7,24.3,0.95,513,499,1012,1013,0.0,0.7974683544303797,0.9897959183673469,0.19631901840490798,0.12,0.0,0.858695652173913,0.821917808219178,0.8481012658227849,0.9469026548672567,0.8441558441558442,0.9489795918367346,0.19135802469135801,0.16939890710382513,0.17971014492753623,0.11214953271028037,61703,51664,s,0.94,0.01,0.02,0.01,0.01,0.0,0.02,0.010545175215257847,0.2058786710397837
8,8,Colorado,0.3,23.9,1.0,519,506,1.0,20.1,20.3,21.2,20.9,20.8,0.11,606,595,1201,1025,0.24731182795698925,0.7848101265822782,1.0,0.2392638036809816,0.14857142857142858,1.0,0.4130434782608697,0.315068493150685,0.39240506329113906,0.8230088495575221,0.38961038961038963,0.09183673469387756,0.7654320987654321,0.6939890710382514,0.7275362318840579,0.14953271028037382,345233,74172,s,0.68,0.04,0.22,0.03,0.01,0.01,0.03,0.11308559392648829,0.7694098795723693
9,9,Illinois,0.43,23.9,0.99,513,506,0.93,21.0,21.2,21.6,21.3,21.4,0.09,559,556,1115,1019,0.3870967741935484,0.7848101265822782,0.9897959183673469,0.20245398773006135,0.14857142857142858,0.923913043478261,0.5108695652173912,0.4383561643835615,0.4430379746835444,0.84070796460177,0.4675324675324673,0.07142857142857142,0.47530864197530864,0.4808743169398907,0.4782608695652174,0.1308411214953271,822540,64609,s,0.61,0.14,0.17,0.05,0.01,0.0,0.02,0.2857066909313952,0.5299817230414862
