state,gdp
Alabama,211196
Alaska,51479
Arizona,326446
Arkansas,122704
California,2797601
Colorado,345233
Connecticut,264510
Delaware,72461
District of Columbia,135768
Florida,976386
Georgia,563608
Hawaii,88448
Idaho,72294
Illinois,822540
Indiana,352273
Iowa,183930
Kansas,159108
Kentucky,202175
Louisiana,235960
Maine,61703
Maryland,399538
Massachusetts,542979
Michigan,508905
Minnesota,350179
Mississippi,109375
Missouri,303763
Montana,47079
Nebraska,119588
Nevada,158302
New Hampshire,81650
New Jersey,602069
New Mexico,94211
New York,1606601
North Carolina,540497
North Dakota,52527
Ohio,645747
Oklahoma,188632
Oregon,227155
Pennsylvania,756269
Rhode Island,59306
South Carolina,221690
South Dakota,49813
Tennessee,349569
Texas,1645136
Utah,164917
Vermont,32545
Virginia,510586
Washington,524323
West Virginia,74047
Wisconsin,321373
Wyoming,38037
